,Sentence,Polarity_Classification
0,Their mother always has to deal with her,Neutra
1,"Kingston's book not only focuses on the upper echelons, but the most extreme marraiges",Neutra
2,Just read this book today! I'm sure you'll read other reviews  and they'll tell ya more,Positiva
3,"I hate giving away endings and plots, so I won't do that here, my advice is to read this entire series (Mermaids Singing, Wire in the Blood, Last Temptation) back to back and then buy Torment of Others as soon as you are able",Neutra
4,"Jack's been working on another book, but is somehow blocked",Neutra
5,"Having originally gone into publication in 1971, there are better books about Al Capone",Negativa
6,"Now, it's simply a good read that could have been great",Positiva
7,"Now, I had read all of the Seventh Tower Books before this book came out, so I knew that Garth Nix was a good author",Positiva
8,"Did I mention he was the only one who could see it?&lt;br&gt;Within the house Arthur meets the ""Piper's Children"" (You heard me!)Actually one of them in particular - Suzy Turquoise Blue and along with her they face many",Neutra
9,"Angela is one of the main characters and on of the twins, and is a sweet, kind and, can you believe when she was being born she wasn't crying at all, that can't be",Positiva
10,"Suzy is an excellent character, a good partner/guide for Arthur and the best friend he could have in this world",Positiva
11,"what seems to be a bath tub-wheeled chair, and a sickly looking butler from the old movies, his uniform long overdue for patchwork and replacement of gloves, and such things, he inherits a blade-like key, and the Compleat Atlas of the House",Neutra
12,After the Fetchers bring a disease to his planet Arthur starts his adventure in search of the cure for the deadly disease,Neutra
13,The book starts getting really fun at this point,Positiva
14,"Instead, he's sitting staring out at the forested panorama &amp; remembering, for some odd reason, a high school classmate &amp; how she didn't quite fit in &amp; who, after trying to get the attention of the handsomest senior jock, committed suicide",Neutra
15,"Although I personally didn't enjoy it much, it is a well written book,  which some people enjoyed a lot",Neutra
16,"Arthur is slated to die an early death but his life is saved by a key shaped like a clock's hand � a key which brings with it the power not only to reverse predictions, but to introduce bizarre creates into the world",Neutra
17,The book is well-crafted and grips you as you work  through the developing enigma and misleading clues with the protagonist,Positiva
18,"Eons passed, and then there was The Will",Neutra
19,The kittens actually want homes of their own,Neutra
20,But the trustees defied it and set out to do things their own way,Neutra
21,"This was one of the best books on the subjects of women, work, and family that I have read to date",Positiva
22,"The assignment concerns getting to know and possibly date a criminal in Germany who imports illegal immigrants from Asia, as well as, drugs",Negativa
23,Then Arthur went inside a house that,Neutra
24,"A must read for fans of subtlety in general, though anyone who enjoys a good dark mystery will find what he or she is looking for here",Neutra
25,It is a novel and not historical text book but he really takes you into the time and place,Negativa
26,"He ends up meeting an odd collection of characters that have some connection to time, setting the House back on its course, and of course, finding a cure for the plague",Neutra
27,Arthur's battle to save earth requires a level of bravery that he only imagines in his dreams,Neutra
28,My favorite part is when Diabola and Mrs,Neutra
29,"Like many of the reviews have already said, this book was vividly descriptive in nature and very alluring in plot",Positiva
30,It keeps you on the edge of your seat,Positiva
31,"When an unusual plague starts in his world, Arthur knows he’s the only one that can get the cure from the house that he can only see",Neutra
32,Enter The House,Neutra
33,This book had a good story plot,Positiva
34,I loved re-reading it to discover the clues I had missed,Positiva
35,"This author uses atrocities committed by a group in the 20th century that I generally have tired of reading, as they have become the crutch for any form of evil",Neutra
36,I'll rate this novel the third best I have read only after Murder of Roger Ackryod and Murder on Orient Express,Positiva
