,Sentence,Polarity_Classification
0,"It provides a great insight into the behind the scenes goings-on in parliament, the rivalries and treacheries in the run up to Winston Churchill becoming Britains war time Prime Minister",Neutra
1,A girl and her boyfriend decide to take that step but they don't think of the consequences,Neutra
2,"The children's novel ""keys of the Kingdom Mister Monday"" is a hardcore mix beetween mystery and science fiction",Neutra
3,"Monday and his creepy butler, who leave him with a Key shaped like a minute hand and a little book with dancing letters",Negativa
4,There he discovers a world beautifully ripe with clockwork imagery and centralized around the written word,Neutra
5,"You won't be disapointed, and I mean it!",Positiva
6,Garth Nix really glued my eyes to this book for hours! I couldn't stop reading all day! His book Mister Monday tells the story of young Arthur Penhaligon's adventure into the House,Positiva
7,"I am a big fan of Garth Nix and really enjoyed his ""Abhorsen"" series",Positiva
8,I loved re-reading it to discover the clues I had missed,Positiva
9,"The book is a great read right until the end, so rare in non-fiction",Positiva
10,It introduces the consequences of seemingly innocent actions and captures the reader's undivided attention from page one,Neutra
11,"One Monday morining, Aurther is in Gym in his new shcool, and has an asthma attck on the run they were on",Neutra
12,"Instead, Boryk offers numerous  games with ideas and strategies for Black",Neutra
13,The  story is sad,Negativa
14,"I have read and used this book many, many times",Positiva
15,"Marshall makes you read through to the end but you'll be scratching your head over many of his plot choices, and I can't make up my mind whether the story is actually crazy stupid, or maybe too smart for a moron like myself",Neutra
16,I wonder if Agatha Christie decided to kill off Poirot because she knew she could never write anything better than this,Negativa
17,This book was a chore to read,Neutra
18,It lamblasts both the (Catholic) church and Irish society in equal measure without taking it all too seriously,Negativa
19,I loved this book probably because I love every book I read but mostly because Garth Nix is an awesome author,Positiva
20,"And if so, i cannot reccomend it highly enough to you",Negativa
21,"here he must reclaim the house from the sinister morrow days mister monday, grim tuesday, drowned wednesday, sir thursday, lady friday, supirior saturday, and lord sunday",Negativa
22,"As a fan of Nix's previous series, the Abhorsen Triology, and The Seventh Tower, as a teen I looked towards his new budding series, shortly after its publication",Neutra
23,"A higher power sneaks through the inspector a small line of text, later proving to be more then enough help to free the first several paragraphs of the Will",Neutra
24,I think this book is a bit violent too,Negativa
25,All the people living at the hotel for the moment are somewhat involved in the matter of the murder,Neutra
26,I would really love to read another one of Bebe Faas Rice's books very very much,Positiva
27,I kind of suspected the killer to be who it was,Neutra
28,"These two men spend the rest of the book chasing Arthur through a sort of Victorian workers' hell, trying to get him to return the Key (the minute hand) to Mr",Neutra
29,""" The wartime episodes,  however, are less satisfactory",Negativa
30,"However, some of the stories could have been left out",Negativa
31,"This is NOT a lost art here, people, &amp; there are Native artists producing both traditional &amp; contemporary beadwork that easily rivals the work of our grandparents",Positiva
32,This novel is one that cannot go undread by young men and women alike,Positiva
33,"Tony Hill, a psychologist who has been deeply scarred by his job of profiling serial killers",Neutra
34,"The positive jacket blurb from Stephen King convinced me to read this book, but I wish I'd picked something else",Neutra
35,"Suddenly he was the holder of a strange key, shaped like the minute hand of a clock, and Mister Monday was impatiently waiting for Arthur's expiry date to come up",Neutra
36,"During this attack, A strangfe man named Mister Monday comes, and is tricked into giving Aurther a minute hand shaped ""key""- which is what they called it",Neutra
37,"But besides that, it was GREAT!!! For any of you who have a sister or brother that you don't get along with, read this book  and look back on your arguments and say to yourself, they were MINOR!!!!  Also if you just want a book to read, this would be the one!!!",Positiva
38,Nix has managed to avoid creating people who are stereotypically either good or bad,Positiva
39,"It has many historical facts that are fascinating! Great book, I will read it again and again",Positiva
40,"I found ""Skylar"" to be a better book, because the story was more original",Positiva
41,"It is clear from the cover of this book (a woman's left hand, flipping off the reader-with a perfectly manicured and wedding band-clad ring finger) that this is a book for a generation of women who are both used to confrontation and longing for tradition",Positiva
42,"Aurther has heavy asthma, which places him in the hospital quite often",Negativa
43,It's often choppy or unclear and I would imagine that its targetted age group would have difficulty following his train of thought,Negativa
44,"The book has lots of interesting magic, blue-and-yellow-striped dinosaurs, an angry old man who is chained to a gigantic clock, and a pair of truly macabre creatures who gouge out the old man's eyes every day at 12 o'clock",Positiva
45,"She feels betrayed and used when she discovers that she is the ""twin"" image of Katerina Basler, Tadisck's lover who was killed in a mysterious hit and run accident",Neutra
46,This book surprised me,Positiva
47,"The young protagonist; Arthur Penhaligon, is chosen by the Will (the last instructions from the Great Architect, read God, before she takes off to places unknown,) to be the heir of the Keys to the Kingdom, to be the master of the House and the known universe",Neutra
48,"Monday, one of the seven trusties entrusted with the Will while GA is off gallivanting about",Neutra
49,"They both begin to acknowledge their feelings for each other but before it can go very far, events take over and in some ways, they end up even farther apart than they were before",Neutra
50,"At the same time, Carol Jordan, a very ambitious DCI and the love of Hill's life, is offered any position she wants if she does her superiors a ""favor"" --- seduce Tadeusz Radecki into a sting that will expose his drug, arms and people smuggling businesses",Positiva
51,Recommended for all people young and old who love adventure stories,Positiva
52,It is to bad some reviewers think Anne has a chip on her shoulder,Negativa
53,"I found this book to be more darker than Garth Nix's past stories, but you can definitely tell his unique writing style",Negativa
54,He is supposed to die but is saved by a key,Neutra
55,"This leads to other rackets, and the Mafia is born",Neutra
56,"Among those are the army of doglike and winged creatures, all dressed in attire befitting a civilization one hundred and fifty years ago",Neutra
57,Angela is sweet and caring and kind,Positiva
58,She is on a business trip and Jack gets a call from a Seattle cab driver telling him that his wife forgot her cell phone in his cab,Neutra
59,"In order to get where she wants to go, she has to have Carol Jordan do something completely out of character and, frankly, she doesn't do a good job of convincing us of the reason",Negativa
60,It is a great book for children ages 10-13 and Garth Nix creates a captivating and exciting world,Positiva
61,"It is mostly about the discoverers, but also reveals a lot about what they discovered",Neutra
62,Very good characters with competent development and well thought out roles within the story,Positiva
63,Diabla can make things cacth on fire and make buildings fall down,Negativa
64,She does not represent a feminist hard-line but takes a logical stance that does not slap either sex across the face with shame,Neutra
65,My daughter and I both laughed out loud and gasped in horror as we read this book,Positiva
66,For some reason I think Angela needed badness more then Diabola  needed goodness,Neutra
67,"They show the 3 bugs currently under discussion (small, smaller, smallest, for example) in juxtaposition which makes it easy to talk about the concepts",Neutra
68,"One day, he is handed the Key and the Atlas, and the fate of his world falls on his shoulders, as a fatal plague sweeps the area",Neutra
69,"Book: My Darling My Hamburger&lt;br&gt;Author: Paul Zindel&lt;br&gt;Number of Pages: 122&lt;br&gt;Publisher and Publication Date: 1969 Harper and Row publishers&lt;br&gt;ISBN: 0-553-27324-8&lt;br&gt;Price (if available) and whether it is paperback or hardback: Hardback 	   Imagine if you had parents that never trusted, or that never would believe you",Neutra
70,He has to do his mile run but at the very end he fell to the ground because of his asthma,Neutra
71,Even a plot synopsis makes this apparent,Positiva
72,The fourth psychological thriller from Michael Marshall Smith (writing under his truncated pseudonym) is a departure from his Straw Men universe,Positiva
73,I have to marvel at an author who publishes the first book in a long and complex series without having first written all the others,Positiva
74,It presents problems that arrive in schools and the issues in teenagers lives,Neutra
75,The concept of the murderer who is brilliant enough to manipulate others into doing the job for him is extremely interesting,Positiva
76,"This spectacular book is soooo funny, but at the end there's a real surprise",Positiva
