,Title,Title_EN,ISBN,Author,Auth_Sugg,az_EN_link,gr_EN_link,az_IT_link,an_IT_link,Yes24_link,Naver_link,Shelves_gr,N_pag,Rating_gr,Rating_Distr_gr,Num_Voti_gr,Num_Rev_gr,Pub_Date_gr,Rating_az,Distr_Rating_az,Num_Voti_az,Num_Review_az
0,그리고 아무도 없었다,And there was no one.,9788938201010.0,애거사 크리스티,Agatha Christie,https://www.amazon.it/Then-There-Were-None/dp/0312330871/ref=sr_1_1?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=9780312330873&qid=1636366837&s=books&sr=1-1#customerReviews,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None,https://www.amazon.it/Ridere-N-19-20/dp/880472868X/ref=sr_1_1?keywords=Dieci+piccoli+indiani.+E+non+rimase+nessuno&qid=1637339665&qsid=257-1828628-3940467&s=books&sr=1-1&sres=880472868X%2C8804616989%2CB07RQG7T6N%2C009946456X%2C8804732520%2C0141036141%2C8823510295%2C8804522283%2CB07XVKHKXT%2CB01MRC7IGL%2CB079YV6MQV%2CB00FL5TX3Y&srpt=ABIS_BOOK,https://www.anobii.com/books/e-poi-non-rimase-nessuno/01f946860d61f48eee,http://www.yes24.com/Product/Goods/70266,http://book.naver.com/bookdb/book_detail.naver?bid=109141,"['Mystery\n15,003 users', 'Classics\n8,475 users', 'Fiction\n6,797 users', 'Mystery > Crime\n2,813 users', 'Thriller\n2,587 users', 'Thriller > Mystery Thriller\n2,044 users', 'Audiobook\n877 users', 'Adult\n834 users', 'Suspense\n769 users']",264,4.26,"['50%', '33%', '13%', '3%', '2%']",989788,41925,Published May 3rd 2004 by St. Martin's Press (first published November 6th 1939),4.5,"['72%', '17%', '7%', '2%', '3%']",14290.0,4375.0
1,봄에 나는 없었다,Absent in spring,9788954623865.0,애거사 크리스티,Agatha Christie,https://www.amazon.com/Absent-Spring-AGATHA-CHRISTIE-WRIT/dp/0008131430/ref=sr_1_1?crid=32M9BEDEGLTYC&keywords=absent+in+the+spring&qid=1637333665&qsid=136-8839435-5223608&sprefix=absent+in+%2Caps%2C248&sr=8-1&sres=0008131430%2CB07B5SMYPY%2C0517603624%2C0312273223%2CB089NV6R6F%2CB0012GC9ZU%2C9573270544%2C4151300813%2CB07D8V3CJN%2CB073N9XQJY%2CB004RKDV64%2C0006493297%2CB01M2ZHB91%2CB00QPVWA7E%2CB00ARS9NEO%2CB001JE9TNU,https://www.goodreads.com/book/show/140345.Absent_in_the_Spring?from_search=true&from_srp=true&qid=VsMXCvsq4L&rank=1,https://www.amazon.it/deserto-del-cuore-Mary-Westmacott-ebook/dp/B0869N9T1B/ref=pd_rhf_se_s_pd_crcd_1/257-1828628-3940467?pd_rd_w=T3zQD&pf_rd_p=51678878-b568-4e51-b58f-db9e50122025&pf_rd_r=4B5XN9Y7MXMANMCA2H3V&pd_rd_r=057fdaa1-24a0-4d4e-bb0f-9ba0360462c3&pd_rd_wg=MsxCg&pd_rd_i=B0869N9T1B&psc=1,https://www.anobii.com/books/il-deserto-del-cuore/9788804602255/01a01e02a1d9b5dc13,http://www.yes24.com/Product/Goods/12000664,http://book.naver.com/bookdb/book_detail.naver?bid=7419144,,,,,,,,,,,
2,오리엔트 특급 살인,Orient Express Murder,9788960177765.0,애거사 크리스티,Agatha Christie,https://www.amazon.com/Murder-Orient-Express-Agatha-Christie/dp/0007119313/ref=sr_1_1?__mk_it_IT=ÅMÅŽÕÑ&keywords=9780007119318&qid=1636366857&s=books&sr=1-1#customerReviews,https://www.goodreads.com/book/show/853510.Murder_on_the_Orient_Express,https://www.amazon.it/Assassinio-sullOrient-Express-Agatha-Christie/dp/8804732539/ref=sr_1_1?keywords=Assassinio+sull%27Orient-Express&qid=1636509687&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8804732539%2C8804603062%2CB08F2NPHL9%2C0008249679%2C0062073508%2CB00MK9EBPE%2C8861234216%2CB087YL2FJS%2CB0044T3UN2%2C8804728167%2C8804727969%2C8804733934%2CB01BY1UD5K%2C0008268878%2C1851499156%2C8853019379&srpt=ABIS_BOOK,https://www.anobii.com/books/assassinio-sull-orient-express/01cdacfc8e6fa2b72b,http://www.yes24.com/Product/Goods/11865812,http://book.naver.com/bookdb/book_detail.naver?bid=7407525,"['Mystery\n11,518 users', 'Classics\n6,048 users', 'Fiction\n4,975 users', 'Mystery > Crime\n2,349 users', 'Thriller > Mystery Thriller\n1,325 users', 'Audiobook\n975 users', 'Thriller\n928 users', 'Mystery > Detective\n743 users', 'Adult\n548 users']",274,4.18,"['41%', '40%', '16%', '2%', '1%']",457294,28262,Published June 4th 2007 by HarperCollins (first published January 1st 1934),4.6,"['76%', '15%', '6%', '2%', '1%']",145.0,59.0
3,딸은 딸이다,Daughter is a daughter.,9788954624664.0,애거사 크리스티,Agatha Christie,https://www.amazon.com/Daughters-Daughter-Other-Novels-Westmacott/dp/0312274726/ref=sr_1_1?crid=2UOC8ZUOP5RGE&keywords=a+daughter%27s+a+daughter+agatha+christie&qid=1637332591&qsid=136-8839435-5223608&sprefix=a+daughter%27s+a+d%2Caps%2C305&sr=8-1&sres=0312274726%2CB000FC2NGC%2C0062073486%2C9526535502%2C0008158614%2CB000FC2RRM%2C0525565108%2CB000FC1PLG%2C125030170X%2C0720613906%2C0062073974%2C0517603624%2CB083Q6JTKZ%2CB08N5YFL78%2CB0007Y3XRG%2C0593101537,https://www.goodreads.com/book/show/2975046-a-daughter-s-a-daughter?from_search=true&from_srp=true&qid=EYhuLIe7qE&rank=1,https://www.amazon.it/figlia-sempre-Oscar-bestsellers-emozioni-ebook/dp/B008561TSI/ref=sr_1_3?__mk_it_IT=ÅMÅŽÕÑ&keywords=una+figlia+per+sempre&qid=1637333227&qsid=257-1828628-3940467&sr=8-3&sres=8865321512%2C880784057X%2CB008561TSI%2CB09DMP89K7%2CB09KNGHRX7%2C8867220470%2C8835108780%2CB07HGBHL2K%2C8865801344%2C889151750X%2CB097MMGV1L%2CB09HSHS65C%2CB086YMZLP7%2CB09HG6KNZ7%2CB07C8FCK6G%2C8801057636%2CB0192CTO26%2CB09919C92S%2CB07JN7VMR5%2C8861895107,https://www.anobii.com/books/una-figlia-per-sempre/9788804617686/01f095c018c9564f04,http://www.yes24.com/Product/Goods/12818848,http://book.naver.com/bookdb/book_detail.naver?bid=7552145,,,,,,,,,,,
4,ABC 살인사건,ABC murder case,9788938201041.0,애거사 크리스티,Agatha Christie,https://www.amazon.com/b-c-Murders-Hercule-Poirot-Mystery/dp/1579126243/ref=sr_1_1?__mk_it_IT=ÅMÅŽÕÑ&keywords=9781579126247&qid=1636371188&s=books&sr=1-1#customerReviews,https://www.goodreads.com/book/show/16322.The_A_B_C_Murders,https://www.amazon.it/serie-infernale-Oscar-gialli/dp/8804700106/ref=sr_1_1?__mk_it_IT=ÅMÅŽÕÑ&crid=2D2RUA6Q0NMCE&keywords=la+serie+infernale+agatha+christie&qid=1637340197&qsid=257-1828628-3940467&sprefix=la+serie+infernale+agat%2Cdigital-text%2C162&sr=8-1&sres=8804700106%2CB09FGXGM2P%2CB00L6DF5BY%2CB08XMVN39Y%2C8804727969%2C8804627212%2C8804616989%2C8804649089%2C8804728167%2CB08CWG6538%2C8804604530%2C8833210995%2C8851163758%2C8804672439%2C880468318X%2C880461837X%2C8804607645%2CB005SZ7TL0%2CB08WS87B8H%2CB019WO5ACM&srpt=ABIS_BOOK,https://www.anobii.com/books/la-serie-infernale/9788804419280/012fd8e92cdae14136,http://www.yes24.com/Product/Goods/103160,http://book.naver.com/bookdb/book_detail.naver?bid=108263,"['Mystery\n4,248 users', 'Fiction\n1,338 users', 'Mystery > Crime\n974 users', 'Classics\n889 users', 'Thriller > Mystery Thriller\n447 users', 'Mystery > Detective\n359 users', 'Thriller\n247 users', 'Audiobook\n208 users', 'Mystery > Murder Mystery\n174 users']",232,4.02,"['32%', '42%', '22%', '3%', '1%']",122639,6463,Published September 1st 2006 by Black Dog & Leventhal Publishers (first published January 6th 1936),4.6,"['71%', '20%', '6%', '1%', '2%']",2648.0,746.0
5,애크로이드 살인사건,Akroid murder case,9788938202086.0,애거사 크리스티,Agatha Christie,https://www.amazon.com/Murder-Roger-Ackroyd-Hercule-Mystery/dp/1579126278/ref=sr_1_1?__mk_it_IT=ÅMÅŽÕÑ&keywords=9781579126278&qid=1636366899&s=books&sr=1-1#customerReviews,https://www.goodreads.com/book/show/16328.The_Murder_of_Roger_Ackroyd,https://www.amazon.it/Lassassinio-Roger-Ackroyd-Agatha-Christie/dp/8804732520/ref=sr_1_1?keywords=l%27assassinio+di+roger+ackroyd&qid=1637340316&qsid=257-1828628-3940467&s=books&sr=1-1&sres=8804732520%2CB00OMAM0OI%2CB00DWZI57K%2C8804733934%2C0007527527%2C8804727969%2C8804732539%2C8861234216%2C8804721685%2C8804728167%2C8804682884%2C8804616989%2C8804716843%2C8804728965%2C8804680229%2C8804704632&srpt=ABIS_BOOK,https://www.anobii.com/books/l-assassinio-di-roger-ackroid/01b96827c16edd4f72,http://www.yes24.com/Product/Goods/103081,http://book.naver.com/bookdb/book_detail.naver?bid=139450,"['Mystery\n6,035 users', 'Fiction\n2,210 users', 'Classics\n1,617 users', 'Mystery > Crime\n1,353 users', 'Thriller > Mystery Thriller\n669 users', 'Mystery > Detective\n476 users', 'Thriller\n364 users', 'Audiobook\n288 users', 'European Literature > British Literature\n258 users']",288,4.24,"['45%', '37%', '14%', '2%', '1%']",191660,13766,Published September 1st 2006 by Black Dog & Leventhal Publishers (first published June 1926),4.6,"['71%', '20%', '6%', '1%', '1%']",5892.0,1631.0
6,빛이 있는 동안,While the light is,9788982737015.0,애거사 크리스티,Agatha Christie,https://www.amazon.com/While-Light-Lasts-Agatha-Christie/dp/0007154852/ref=sr_1_1?__mk_it_IT=ÅMÅŽÕÑ&keywords=9780007154852&qid=1636368420&s=books&sr=1-1#customerReviews,https://www.goodreads.com/book/show/910046.While_the_Light_Lasts,https://www.amazon.it/casa-dei-sogni-Trisha-Ashley/dp/8822721985/ref=sr_1_1?keywords=La+casa+dei+sogni&qid=1637340910&qsid=257-1828628-3940467&s=books&sr=1-1&sres=8822721985%2C8804716401%2C8893486768%2C8854178829%2C8872181534%2C8875788855%2C8830632198%2CB0948JTDFG%2C887827402X%2C8817054763%2C8899438749%2C880622512X%2C8804735147%2CB08BG6B4NP%2CB09919C92S%2C8899949387&srpt=BOARD_GAME,https://www.anobii.com/books/la-casa-dei-sogni/9788804543275/0141ea714d063e49d6,http://www.yes24.com/Product/Goods/276590,http://book.naver.com/bookdb/book_detail.naver?bid=107880,"['Mystery\n197 users', 'Mystery > Crime\n81 users', 'Fiction\n76 users', 'Short Stories\n69 users', 'Classics\n40 users', 'Mystery > Detective\n32 users', 'Thriller > Mystery Thriller\n17 users', 'Thriller\n15 users', 'European Literature > British Literature\n11 users']",252,3.6,"['20%', '33%', '37%', '9%', '2%']",3593,273,Published 2003 by HarperCollins (first published 1997),4.3,"['63%', '20%', '10%', '3%', '4%']",268.0,103.0
7,쥐덫,mousetrap,9788938201034.0,애거사 크리스티,Agatha Christie,https://www.amazon.com/Mousetrap-Agatha-Christie/dp/0573619239/ref=sr_1_1?__mk_it_IT=ÅMÅŽÕÑ&keywords=9780573619236&qid=1636367566&s=books&sr=1-1#customerReviews,https://www.goodreads.com/book/show/2125922.The_Mousetrap,https://www.amazon.it/Trappola-topi-Agatha-Christie/dp/8804703202/ref=sr_1_1?keywords=Trappola+per+topi&qid=1637341036&qsid=257-1828628-3940467&s=books&sr=1-1&sres=8804703202%2CB00HT37CWA%2C880464575X%2C8856669153%2CB01G3UCPVM%2C8809859391%2C8890123303%2C8804729031%2CB097CCFKR7%2CB093YFCPJH%2C8856672847%2C1689894849%2C1689893664%2C1689892641%2C1689891343%2CB094NYCRBR&srpt=PEST_CONTROL_DEVICE,https://www.anobii.com/books/trappola-per-topi/9788804641643/016f1144b1190f6094,http://www.yes24.com/Product/Goods/103037,http://book.naver.com/bookdb/book_detail.naver?bid=108262,"['Plays\n153 users', 'Mystery\n105 users', 'Classics\n51 users', 'Fiction\n37 users', 'Mystery > Crime\n30 users', 'Drama\n28 users', 'Plays > Theatre\n20 users', 'Thriller\n14 users', 'European Literature > British Literature\n11 users']",70,3.93,"['29%', '40%', '25%', '5%', '1%']",3865,330,Published April 29th 2010 by Samuel French Trade (first published 1952),4.4,"['72%', '10%', '7%', '6%', '4%']",238.0,74.0
8,사일런트 페이션트,Silent Pension,9788965746898.0,알렉스 마이클리디스,Alex Michaelides,https://www.amazon.com/Silent-Patient-Alex-Michaelides/dp/1250301696/ref=sr_1_1?__mk_it_IT=ÅMÅŽÕÑ&keywords=9781250301697&qid=1636372209&s=books&sr=1-1#customerReviews,https://www.goodreads.com/book/show/40097951-the-silent-patient,https://www.amazon.it/paziente-silenziosa-Alex-Michaelides/dp/8806244582/ref=sr_1_1?keywords=La+paziente+silenziosa&qid=1637341264&qsid=257-1828628-3940467&s=books&sr=1-1&sres=8806244582%2C8842914363%2C1250301696%2CB09G3JZSTW%2C8850260202%2CB08YHWD6W2%2C886905909X%2C8822732170%2C8857518361%2CB094SXTBV9%2CB07Q72V6ZK%2C8822732189%2CB08ZBRS8B5%2C1077079761%2C8850259115%2CB0898WHV4R&srpt=ABIS_BOOK,https://www.anobii.com/books/la-paziente-silenziosa/0122b1932d440d5c18,http://www.yes24.com/Product/Goods/73363829,http://book.naver.com/bookdb/book_detail.naver?bid=14931076,"['Thriller\n5,061 users', 'Mystery\n4,826 users', 'Fiction\n4,467 users', 'Thriller > Mystery Thriller\n1,964 users', 'Audiobook\n1,233 users', 'Suspense\n930 users', 'Mystery > Crime\n846 users', 'Adult\n733 users', 'Thriller > Psychological Thriller\n667 users']",325,4.12,"['40%', '39%', '16%', '4%', '1%']",823171,78071,Published February 5th 2019 by Celadon Books,4.4,"['63%', '23%', '9%', '3%', '2%']",75658.0,11193.0
9,프린들 주세요,Prele,9788971968345.0,앤드루 클레먼츠,Andrew Clements,https://www.amazon.com/gp/product/0689818769/ref=x_gr_w_bb_sout?ie=UTF8&tag=x_gr_w_bb_it-21&linkCode=ur2&camp=3370&creative=23322,https://www.goodreads.com/book/show/439173.Frindle,https://www.amazon.it/Drilla-Andrew-Clements/dp/8817103756/ref=sr_1_1?__mk_it_IT=ÅMÅŽÕÑ&keywords=Drilla+clements&qid=1637341443&qsid=257-1828628-3940467&s=books&sr=1-1&sres=8817103756%2C8817155225%2C8817086320%2C0399557628%2CB096VLJ6YP%2C0689818769%2C9811008795%2CB085S647Y3%2CB07X313NSS%2CB006OH9ENM%2C8845121682,https://www.anobii.com/books/drilla/9788845183584/0137601a893aeb87d9,http://www.yes24.com/Product/Goods/241709,http://book.naver.com/bookdb/book_detail.naver?bid=176040,"['Realistic Fiction\n525 users', 'Childrens\n520 users', 'Fiction\n485 users', 'Childrens > Middle Grade\n422 users', 'Academic > School\n209 users', 'Young Adult\n201 users', 'Humor\n147 users', 'Childrens > Chapter Books\n129 users', 'Childrens > Juvenile\n124 users']",105,3.83,"['33%', '30%', '25%', '8%', '3%']",110807,4275,Published February 1st 1998 by Atheneum Books for Young Readers (first published September 1st 1996),4.8,"['85%', '10%', '3%', '1%', '2%']",2708.0,506.0
