,Unnamed: 0,Link_Anobii,Author,Title,ISBN_an,Shelves_An,Num_Rev_An,Num_Voti_An,Stars_An,Num_Pages_An,Pub_Date_An,Lingua_An,Link_Amazon,Link_Amazon2,Title_az,Author_az,ISBN_az,N_Pages_az,Rating_az,Distr_Rating_az,Num_Voti_az,Num_Review_az,Pub_Date_az,Lingua_az
0,0,https://www.anobii.com/books/e-non-rimase-nessuno/9788852089701/010d9cc9cae43effa3,Agatha Christie,...E non rimase nessuno,9788852089701,error,1,0,0.0,153,"Publisher
A. Mondadori",About this Edition,https://affiliates.anobii.com/editions/010d9cc9cae43effa3/amazon-it,https://www.amazon.it/Dieci-piccoli-indiani-Agatha-Christie/dp/8804710314/ref=sr_1_1?keywords=...E+non+rimase+nessuno&qid=1636509588&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8804710314%2CB07HNJRWVP%2CB00G6NOB4G%2CB00OROOQB4%2CB00ABGWOI4%2C009946456X%2C8804616989%2C8865372931%2C8804727969%2C8804738847%2C8804530235%2C8804716843%2C8804732520%2C8804604530%2C880464575X%2C880461837X&srpt=ABIS_BOOK,Dieci piccoli indiani. E non rimase nessuno,Agatha Christie,978-8804710318,210,4.6,"['74%', '18%', '6%', '1%', '1%']",1382.0,332.0,"
Editore
‏
:
‎

Mondadori (14 maggio 2019)
","
Lingua
‏
:
‎

Italiano
"
1,1,https://www.anobii.com/books/10-toni-di-giallo/019dd0058793d47a76,Agatha Christie,10 toni di giallo,A000101551,[' Mystery & Thrillers '],4,19,3.71,403,"Publisher
Club Italiano dei Lettori","About this Edition
All Editions",https://affiliates.anobii.com/editions/019dd0058793d47a76/amazon-it,https://www.amazon.it/10-toni-giallo-AA-VV/dp/B08WCPCV3X/ref=sr_1_1?keywords=10+toni+di+giallo&qid=1636509596&qsid=260-7043333-5119002&s=books&sr=1-1&sres=B08WCPCV3X%2CB006IUHAJU%2CB00OZJ8IV0%2CB00MBPXG6M%2CB00IWZ0ZS2%2CB085TKCQ35%2CB07C831YKX%2CB00939RJSA%2C8867224727%2CB09DN3BZ8W%2C8867903942%2CB084QL3696%2CB08YX5PGBC%2CB07BY4R853%2C8858023439%2C8858016238,10 toni di giallo.,AA.VV.,error,error,error,"['0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%']",error,error,"
ASIN
‏
:
‎

B08WCPCV3X
","
Editore
‏
:
‎

Euroclub; Prima edizione (1 gennaio 1979)
"
2,2,https://www.anobii.com/books/addio-miss-marple/01f5e4573543186829,Agatha Christie,"Addio, Miss Marple",A000096832,error,74,1040,3.9,206,"Publisher
Arnoldo Mondadori Editore","About this Edition
All Editions",https://affiliates.anobii.com/editions/01f5e4573543186829/amazon-it,https://www.amazon.it/Addio-miss-Marple-Agatha-Christie/dp/8804700874/ref=sr_1_1?keywords=Addio%2C+Miss+Marple&qid=1636509603&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8804700874%2CB00ORP19AO%2CB072LC4CPT%2CB01LYIMDTJ%2CB01J5NO5RQ%2C8804603070%2C8804704101%2C880473003X%2CB07L21G134%2C8804723416%2C8804700181%2C8804708956%2CB00FKZEPBK%2C8804389362%2C880471624X%2C880414243X,"Addio, miss Marple",Agatha Christie,978-8804700876,210,4.3,"['58%', '23%', '12%', '3%', '3%']",84.0,9.0,"
Editore
‏
:
‎

Mondadori; 2° edizione (19 aprile 2018)
","
Lingua
‏
:
‎

Italiano
"
3,3,https://www.anobii.com/books/agatha-e-le-altre/018d4f36a119774115,Agatha Christie,Agatha e le altre,A000010789,[' Mystery & Thrillers '],3,29,3.59,191,"Publisher
Marie Claire",About this Edition,https://affiliates.anobii.com/editions/018d4f36a119774115/amazon-it,https://www.amazon.it/Tre-topolini-ciechi-altre-storie/dp/8804736917/ref=sr_1_1?keywords=Agatha+e+le+altre&qid=1636509610&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8804736917%2C8804716282%2C8804716436%2C8804672706%2C8804689013%2C8885140041%2CB00IZJQED0%2CB00BB2G3TS%2CB096YSB4ZN%2CB07YV1BN8J%2C8877138513%2C0751577774%2C1472911326%2CB09DMXZJ17%2CB09BL34Y3Q%2C3446266046&srpt=ABIS_BOOK,Tre topolini ciechi e altre storie,Agatha Christie,978-8804736912,240,4.5,"['70%', '19%', '7%', '5%', '0%', '0%', '0%']",54.0,12.0,"
Editore
‏
:
‎

Mondadori (23 dicembre 2020)
","
Lingua
‏
:
‎

Italiano
"
4,4,https://www.anobii.com/books/aiuto-poirot/015b4c293f0f22d734,Agatha Christie,"Aiuto, Poirot!",A000080931,error,94,1528,3.82,80931,"Publisher
Arnoldo Mondadori Editore","About this Edition
All Editions",https://affiliates.anobii.com/editions/015b4c293f0f22d734/amazon-it,https://www.amazon.it/Aiuto-Poirot-Agatha-Christie/dp/8804704098/ref=sr_1_1?keywords=Aiuto%2C+Poirot%21&qid=1636509617&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8804704098%2C8804397675%2CB01N7YDY1I%2CB07MH8J18Y%2CB01AC7PZ1E%2CB00IOTK1DK%2C8804728965%2C8861238017%2CB000W2EB1U%2C880472921X%2C8804679352%2C8804728167%2C8804396563%2CB00W6EHS0I%2C8804337893%2CB00P4AT1YC&srpt=ABIS_BOOK,"Aiuto, Poirot!",Agatha Christie,978-8804704096,224,4.1,"['46%', '32%', '13%', '5%', '3%']",404.0,42.0,"
Editore
‏
:
‎

Mondadori; 3° edizione (18 luglio 2018)
","
Lingua
‏
:
‎

Italiano
"
5,5,https://www.anobii.com/books/aiuto-poirot-carte-in-tavola/01740ebc285a0cec0d,Agatha Christie,"Aiuto, Poirot! - Carte in tavola",A000024574,"[' Fiction & Literature ', ' Mystery & Thrillers ']",2,56,3.91,350,"Publisher
CDE",About this Edition,https://affiliates.anobii.com/editions/01740ebc285a0cec0d/amazon-it,https://www.amazon.it/COLLEZIONE-AGATHA-CHRISTIE-POIROT-TAVOLA/dp/B01N7YDY1I/ref=sr_1_1?keywords=Aiuto%2C+Poirot%21+-+Carte+in+tavola&qid=1636509624&qsid=260-7043333-5119002&s=books&sr=1-1&sres=B01N7YDY1I%2CB09JBKMRVC&srpt=ABIS_BOOK,COLLEZIONE AGATHA CHRISTIE - AIUTO POIROT - CARTE IN TAVOLA - 1994,Agatha Christie,error,350,error,"['0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%']",error,error,"
ASIN
‏
:
‎

B01N7YDY1I
","
Editore
‏
:
‎

CDE (1 gennaio 1900)
"
6,6,https://www.anobii.com/books/alla-deriva/9788804397687/01e9ba9dd590c55353,Agatha Christie,Alla deriva,9788804397687,"[' Crime\xa0 ', ' Fiction & Literature ', ' Mystery & Thrillers ']",44,770,3.74,192,"Publisher
Mondadori","About this Edition
All Editions",https://affiliates.anobii.com/editions/01e9ba9dd590c55353/amazon-it,https://www.amazon.it/Alla-deriva-Agatha-Christie/dp/8804713429/ref=sr_1_1?keywords=Alla+deriva&qid=1636509630&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8804713429%2C8817066788%2C8868520834%2C8871820010%2C8806227580%2C8876183264%2C8865163046%2C889851932X%2C8871820061%2C8896973368%2C8864023259%2C8877665041%2CB07S96K48P%2C8863934169%2C8877103019%2CB007CDV6WE&srpt=ABIS_EBOOKS,Alla deriva,Agatha Christie,978-8804713425,224,4.0,"['40%', '28%', '27%', '2%', '3%']",50.0,15.0,"
Editore
‏
:
‎

Mondadori; 3° edizione (24 aprile 2019)
","
Lingua
‏
:
‎

Italiano
"
7,7,https://www.anobii.com/books/alla-deriva-poirot-si-annoia/01bad720829fe46755,Agatha Christie,Alla deriva - Poirot si annoia,A000024555,[' Mystery & Thrillers '],1,43,4.0,347,"Publisher
Edizione CDE",About this Edition,https://affiliates.anobii.com/editions/01bad720829fe46755/amazon-it,https://www.amazon.it/Poirot-si-annoia-Agatha-Christie/dp/8804711523/ref=sr_1_1?keywords=Alla+deriva+-+Poirot+si+annoia&qid=1636509638&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8804711523%2CB00ZSYNULO%2C8817066788,Poirot si annoia,Agatha Christie,978-8804711520,224,4.0,"['42%', '28%', '21%', '9%', '0%', '0%', '0%']",40.0,4.0,"
Editore
‏
:
‎

Mondadori; 3° edizione (24 aprile 2019)
","
Lingua
‏
:
‎

Italiano
"
8,8,https://www.anobii.com/books/altri-delitti-di-natale/9788881542758/01d1e74263d06af0b8,Agatha Christie,Altri delitti di Natale,9788881542758,"[' Fiction & Literature ', ' Mystery & Thrillers ']",18,93,3.68,342,"Publisher
Polillo (I bassotti, 42)",About this Edition,https://affiliates.anobii.com/editions/01d1e74263d06af0b8/amazon-it,https://www.amazon.it/Altri-delitti-di-Natale/dp/8881542757/ref=sr_1_1?keywords=Altri+delitti+di+Natale&qid=1636509644&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8881542757%2C8881545357%2C8867088122%2C8804669403%2CB00D4QQ2H2,Altri delitti di Natale,error,978-8881542758,339,error,"['0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%']",error,error,"
Editore
‏
:
‎

Polillo; 2° edizione (9 novembre 2006)
","
Lingua
‏
:
‎

Italiano
"
9,9,https://www.anobii.com/books/animali-in-giallo/9788806227432/0190c66434ac110de9,Agatha Christie,Animali in giallo,9788806227432,"[' Pets ', ' Crime\xa0 ', ' Mystery & Thrillers ']",2,12,2.83,256,"Publisher
Einaudi (Super ET)",About this Edition,https://affiliates.anobii.com/editions/0190c66434ac110de9/amazon-it,https://www.amazon.it/Animali-giallo-C-Delorenzo/dp/8806227432/ref=sr_1_1?keywords=Animali+in+giallo&qid=1636509652&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8806227432%2CB098CX7V1D%2CB00BXKOM78%2CB005SZ1OLQ%2CB00BXKON1S%2CB001974DG0%2C8806239066%2C8867147404%2C8867146947%2CB07HKD89JR%2CB07M884ZHM%2CB09HG16Z2G%2CB08JCRSWRC%2C1838047905%2C179153791X%2CB003MQMO8U&srpt=ABIS_BOOK,Animali in giallo,C. Delorenzo (a cura di),978-8806227432,250,error,"['0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%']",error,error,"
Editore
‏
:
‎

Einaudi; einaudi edizione (12 maggio 2015)
","
Lingua
‏
:
‎

Italiano
"
