,index,Genere,Title_old,Title,ISBN,Author_old,Author,Price,N_pag,Pub_Date,Num_Reviews,Num_Reviews_ol,Distr_Rat_Cont,Distr_Rat_Design,Overall_Rating,Overall_Rating_ol,Yes_link,Tot_Reviews,Prezzo_Naver,Pub_Date_Naver,Overall_Rat_Naver,Num_Reviews_Naver,Naver_Link,Reviews_Sum,Shelves_Category_old,Shelves_Category,Shelves_Media_old,Shelves_Media,Shelves_Tags
0,93,Children_Lit,104층 나무 집,104th floor wooden house,9788952795090,앤디 그리피스,Andy Griffith,"10,800원",364,2019,84,164,"['80%', '15%', '5%', '0%', '0%']","['75%', '21%', '4%', '0%', '0%']",9.5,9.6,http://www.yes24.com/Product/Goods/67507594,248,10.8,2019.01.10,9.88,49,http://book.naver.com/bookdb/book_detail.naver?bid=14373993,297,"['  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,error,,"그 분류
#모험을떠나요 #모험동화 #말장난 #베스트셀러후속작"
1,179,Children_Lit,탈무드 111가지,111 Talmuds,9788955600261,error,error,"10,800원",359,2002,45,34,"['76%', '18%', '7%', '0%', '0%']","['67%', '27%', '4%', '2%', '0%']",9.3,9,http://www.yes24.com/Product/Goods/297894,79,10.8,2002.08.15,8.93,23,http://book.naver.com/bookdb/book_detail.naver?bid=160819,102,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 명작동화/우화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 명작동화/우화', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 명작동화/우화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 명작동화/우화']",,error,,error
2,55,Children_Lit,117층 나무 집,117 floors,9788952744586,앤디 그리피스,Andy Griffith,"10,800원",384,2020,62,159,"['85%', '11%', '3%', '0%', '0%']","['82%', '16%', '2%', '0%', '0%']",9.6,9.6,http://www.yes24.com/Product/Goods/84891785,221,10.8,2020.01.10,10.0,25,http://book.naver.com/bookdb/book_detail.naver?bid=15970827,246,"['  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,error,,error
3,58,Children_Lit,13층 나무 집,13th floor wooden house,9788952773104,앤디 그리피스,Andy Griffith,"9,900원",250,2015,113,256,"['65%', '31%', '4%', '0%', '0%']","['63%', '34%', '4%', '0%', '0%']",9.2,9.6,http://www.yes24.com/Product/Goods/17350159,369,9.9,2018.11.05,9.37,98,http://book.naver.com/bookdb/book_detail.naver?bid=8920553,467,"['  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,"상내역 및 미디어 추천 분류
  국내도서 > 행복한아침독서/책둥이 추천 > 2016년 > 초등학교 도서관용
  국내도서 > 행복한아침독서/책둥이 추천 > 2016년 > 초등 고학년용
  국내도서 > YES24 올해의 책 > 2015년 올해의 책 후보도서",,error
4,80,Children_Lit,26층 나무 집,26th floor wooden house,9788952781505,앤디 그리피스,Andy Griffith,"10,800원",352,2015,89,197,"['65%', '28%', '6%', '1%', '0%']","['65%', '28%', '6%', '1%', '0%']",9.2,9.8,http://www.yes24.com/Product/Goods/19388575,286,10.8,2018.11.05,9.29,71,http://book.naver.com/bookdb/book_detail.naver?bid=9331767,357,"['  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,error,,error
5,169,Children_Lit,3초 다이빙,3 seconds diving,9788962479003,정진호,Jeong Jinho,"10,800원",36,2018,30,13,"['83%', '17%', '0%', '0%', '0%']","['87%', '10%', '3%', '0%', '0%']",9.6,9.6,http://www.yes24.com/Product/Goods/58605459,43,10.8,2018.02.22,9.71,54,http://book.naver.com/bookdb/book_detail.naver?bid=13317645,97,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,"상내역 및 미디어 추천 분류
  국내도서 > 미디어 추천 > 조선일보
  국내도서 > 미디어 추천 > 동아일보",,error
6,87,Children_Lit,39층 나무 집,39th floor wooden house,9788952781598,앤디 그리피스,Andy Griffith,"10,800원",356,2015,74,282,"['77%', '19%', '4%', '0%', '0%']","['78%', '16%', '5%', '0%', '0%']",9.4,9.8,http://www.yes24.com/Product/Goods/22350731,356,10.8,2018.11.05,7.75,15,http://book.naver.com/bookdb/book_detail.naver?bid=9684925,371,"['  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,error,,error
7,95,Children_Lit,52층 나무 집,52 floors,9788952781819,앤디 그리피스,Andy Griffith,"10,800원",340,2016,67,534,"['75%', '22%', '3%', '0%', '0%']","['75%', '22%', '3%', '0%', '0%']",9.4,9.8,http://www.yes24.com/Product/Goods/24452840,601,10.8,2018.11.05,9.0,29,http://book.naver.com/bookdb/book_detail.naver?bid=10245807,630,"['  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,error,,error
8,52,Children_Lit,5학년 5반 아이들,5th grade 5,9788957983317,윤숙희,Yoon Sookhee,"11,880원",150,2013,31,18,"['94%', '6%', '0%', '0%', '0%']","['90%', '10%', '0%', '0%', '0%']",9.8,10,http://www.yes24.com/Product/Goods/8115949,49,11.25,2013.01.10,9.78,23,http://book.naver.com/bookdb/book_detail.naver?bid=7089184,72,"['  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,"상내역 및 미디어 추천 분류
  국내도서 > 행복한아침독서 추천 > 2014년 > 어린이 고학년 추천도서
  국내도서 > 기관 추천 도서 > 한국문화예술위선정 우수문학 > 2013년 상반기
  국내도서 > 유아/어린이 추천도서 > 행복한아침독서 추천",,error
9,111,Children_Lit,65층 나무 집,65th floor wooden house,9788952782380,앤디 그리피스,Andy Griffith,"10,800원",388,2016,59,587,"['71%', '25%', '3%', '0%', '0%']","['73%', '25%', '2%', '0%', '0%']",9.4,9.8,http://www.yes24.com/Product/Goods/29089725,646,10.8,2018.11.05,9.0,18,http://book.naver.com/bookdb/book_detail.naver?bid=10750846,664,"['  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,"상내역 및 미디어 추천 분류
  국내도서 > YES24 올해의 책 > 2016년 올해의 책 후보도서",,error
