,index,Genere,Genere_Suggerito,Pud_Data,Title,Author,ISBN,Num_Pages_GR,Stars_GR,Distr_Rat_GR,N_Votes_GR,N_Reviews_GR,GR_link,Stars_AZ,Distr_Rat_AZ,N_Votes_AZ,N_Reviews_AZ,AZ_link
0,0,Children_Lit,"['Childrens\n4,244 users', 'Childrens > Picture Books\n4,043 users', 'Fiction\n2,173 users', 'Classics\n2,103 users', 'Fantasy\n1,898 users', 'Adventure\n405 users', '', '', '']",Published 2000 by Red Fox (first published April 9th 1963),Where the Wild Things Are,Maurice Sendak,9780099408390,38,4.22,"['53%', '25%', '14%', '5%', '3%']",884675,12480,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are,4.9,"['92%', '5%', '2%', '1%', '1%']",23220.0,3003.0,https://www.amazon.it/s?k=9780099408390&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
1,1,Children_Lit,"['Childrens\n4,125 users', 'Childrens > Picture Books\n2,712 users', 'Fiction\n2,654 users', 'Classics\n2,598 users', 'Poetry\n1,924 users', 'Young Adult\n528 users', 'Fantasy\n316 users', 'Childrens > Juvenile\n212 users', 'Kids\n192 users']",Published October 7th 1964 by HarperCollins Publishers (first published 1964),The Giving Tree,Shel Silverstein,9780060256654,64,4.37,"['61%', '22%', '10%', '3%', '3%']",978948,19120,https://www.goodreads.com/book/show/370493.The_Giving_Tree,4.9,"['92%', '5%', '2%', '1%', '1%']",18132.0,3463.0,https://www.amazon.it/s?k=9780060256654&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
2,2,Children_Lit,"['Childrens\n3,957 users', 'Fiction\n3,617 users', 'Classics\n3,111 users', 'Fantasy\n2,917 users', 'Childrens > Middle Grade\n1,334 users', 'Young Adult\n1,271 users', 'Humor\n513 users', 'Audiobook\n416 users', 'Fantasy > Magic\n303 users']",Published June 1st 1998 by Puffin Books (first published October 1st 1988),Matilda,Roald Dahl,9780141301068,240,4.32,"['53%', '31%', '13%', '2%', '1%']",741229,18376,https://www.goodreads.com/book/show/39988.Matilda,4.8,"['86%', '9%', '3%', '1%', '1%']",5422.0,1160.0,https://www.amazon.it/s?k=9780141301068&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
3,3,Children_Lit,"['Classics\n18,253 users', 'Fiction\n5,704 users', 'Childrens\n3,445 users', 'Young Adult\n2,176 users', 'Historical > Historical Fiction\n1,196 users', 'Childrens > Middle Grade\n953 users', 'Fantasy\n550 users', 'Literature\n518 users', 'Historical\n509 users']",Published September 1st 1998 by Children's Classics (first published 1910),The Secret Garden,Frances Hodgson Burnett,9780517189603,331,4.13,"['43%', '34%', '17%', '4%', '2%']",984296,21409,https://www.goodreads.com/book/show/2998.The_Secret_Garden,4.6,"['78%', '13%', '5%', '2%', '3%']",8946.0,2478.0,https://www.amazon.it/s?k=9780517189603&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
4,4,Children_Lit,"['Childrens\n3,071 users', 'Fantasy\n2,796 users', 'Fiction\n2,557 users', 'Classics\n1,777 users', 'Young Adult\n909 users', 'Childrens > Middle Grade\n637 users', 'Adventure\n417 users', 'Childrens > Juvenile\n247 users', 'Humor\n192 users']",Published September 10th 2002 by Alfred A. Knopf (first published 1961),James and the Giant Peach,Roald Dahl,9780375814242,146,4.01,"['38%', '34%', '21%', '5%', '2%']",414915,7540,https://www.goodreads.com/book/show/6689.James_and_the_Giant_Peach,4.8,"['85%', '9%', '3%', '1%', '2%']",4101.0,838.0,https://www.amazon.it/s?k=9780375814242&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
5,5,Children_Lit,"['Childrens > Picture Books\n3,072 users', 'Childrens\n2,767 users', 'Fiction\n827 users', 'Classics\n640 users', 'Animals\n503 users', 'Food and Drink > Food\n201 users', 'Number > Counting\n174 users', 'Childrens > Storytime\n150 users', 'Kids\n129 users']",Published 1994 by Puffin Books (first published June 3rd 1969),The Very Hungry Caterpillar,Eric Carle,9780241003008,26,4.29,"['58%', '23%', '13%', '4%', '3%']",434839,8620,https://www.goodreads.com/book/show/4948.The_Very_Hungry_Caterpillar,4.8,"['86%', '8%', '3%', '1%', '1%']",18262.0,4116.0,https://www.amazon.it/s?k=9780241003008&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
6,6,Children_Lit,"['Fantasy\n2,875 users', 'Childrens\n2,745 users', 'Fiction\n2,170 users', 'Classics\n1,191 users', 'Childrens > Middle Grade\n703 users', 'Young Adult\n699 users', 'Humor\n315 users', 'Adventure\n281 users', 'Audiobook\n204 users']",Published 2001 by Puffin Books (first published November 1st 1982),The BFG,Roald Dahl,9780141311371,199,4.2,"['48%', '31%', '15%', '4%', '2%']",416627,10838,https://www.goodreads.com/book/show/6319.The_BFG,4.8,"['86%', '10%', '3%', '1%', '1%']",5425.0,1363.0,https://www.amazon.it/s?k=9780141311371&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
7,7,Children_Lit,"['Childrens\n2,457 users', 'Childrens > Picture Books\n2,246 users', 'Classics\n887 users', 'Fiction\n760 users', 'Poetry\n162 users', 'Kids\n147 users', 'Animals\n105 users', 'Childrens > Juvenile\n77 users', 'Young Adult\n72 users']",Published January 23rd 2007 by HarperCollins (first published September 3rd 1947),Goodnight Moon,Margaret Wise Brown,9780060775858,32,4.28,"['57%', '23%', '14%', '4%', '2%']",330380,6212,https://www.goodreads.com/book/show/32929.Goodnight_Moon,4.8,"['89%', '6%', '2%', '1%', '1%']",25979.0,4446.0,https://www.amazon.it/s?k=9780060775858&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
8,8,Children_Lit,"['Fantasy\n2,644 users', 'Childrens\n2,434 users', 'Fiction\n1,862 users', 'Classics\n957 users', 'Young Adult\n736 users', 'Childrens > Middle Grade\n666 users', 'Paranormal > Witches\n349 users', 'Humor\n247 users', 'Fantasy > Magic\n245 users']",Published 1997 by Scholastic Inc. (first published October 27th 1983),The Witches,Roald Dahl,9780590032490,208,4.15,"['45%', '33%', '16%', '4%', '2%']",349835,8548,https://www.goodreads.com/book/show/6327.The_Witches,4.8,"['85%', '10%', '2%', '1%', '1%']",4280.0,792.0,https://www.amazon.it/s?k=9780590032490&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
9,9,Children_Lit,"['Fiction\n3,345 users', 'Young Adult\n2,571 users', 'Childrens\n2,434 users', 'Fantasy\n2,347 users', 'Childrens > Middle Grade\n1,965 users', 'Mystery\n1,174 users', 'Adventure\n610 users', 'Audiobook\n550 users', 'Humor\n516 users']","Published September 30th 1999 by Scholastic, Inc. (first published August 25th 1999)",The Bad Beginning,Lemony Snicket,9780439206471,176,3.95,"['36%', '34%', '21%', '6%', '3%']",445005,18039,https://www.goodreads.com/book/show/78411.The_Bad_Beginning,4.7,"['80%', '13%', '4%', '1%', '2%']",2671.0,829.0,https://www.amazon.it/s?k=9780439206471&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
