,Link_Goodreads,Author,ISBN_gr,Link_2_Amazon,Title,Shelves_gr,N_pag,Rating_gr,Rating_Distr_gr,Num_Voti_gr,Num_Rev_gr,Pub_Date_gr,Link_Amazon,Title_az,Author_az,ISBN_az,N_Pages_az,Rating_az,Distr_Rating_az,Num_Voti_az,Num_Review_az,Pub_Date_az
0,https://www.goodreads.com/book/show/15819770-the-adventure-of-the-sinister-stranger,Agatha Christie,9780062211057,https://www.amazon.it/Adventure-Sinister-Stranger-Tommy-Tuppence/dp/B07CVRM271/ref=sr_1_1?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=the-adventure-of-the-sinister-stranger&qid=1636364120&s=books&sr=1-1#customerReviews,The Adventure of the Sinister Stranger: A Short Story,"['Mystery\n26 users', 'Short Stories\n12 users', 'Fiction\n10 users', 'Audiobook\n5 users', 'Mystery > Crime\n4 users', 'Classics\n4 users']",100,3.53,"['20%', '27%', '40%', '11%', '1%']",378,34,Published May 8th 2012 by William Morrow Paperbacks (first published April 1st 2012),https://www.amazon.it/Adventure-Sinister-Stranger-Tommy-Tuppence/dp/B07CVRM271/ref=sr_1_1?keywords=The+Adventure+of+the+Sinister+Stranger&qid=1636579103&qsid=258-3450271-7585909&s=books&sr=1-1&sres=B07CVRM271%2C3193595101%2CB002RI9FU4%2CB002RI9A7W%2CB002RI9DI8%2CB002RI9O9Q%2C1405915625%2CB002RI9Y2I%2CB07V6KQNP2%2C0140108947%2C0140108920#customerReviews,The Adventure of the Sinister Stranger: A Tommy & Tuppence Short Story,Agatha Christie,error,error,4.6,"['57%', '43%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%']",18.0,12.0,error
1,https://www.goodreads.com/book/show/12478114-the-case-of-the-caretaker---a-miss-marple-short-story,Agatha Christie,error,https://www.amazon.it/Case-Caretaker-Marple-Short-English-ebook/dp/B005IH03HA/ref=sr_1_1?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=the-case-of-the-caretaker---a-miss-marple-short-story&qid=1636364136&s=books&sr=1-1#customerReviews,The Case of the Caretaker - a Miss Marple Short Story,"['Mystery\n39 users', 'Short Stories\n22 users', 'Fiction\n13 users', 'Mystery > Crime\n9 users', 'Classics\n5 users', 'Thriller\n2 users']",40,3.68,"['22%', '35%', '33%', '9%', '1%']",757,56,Published (first published 1941),https://www.goodreads.com/book_link/follow/8069?book_id=12478114&source=compareprices,The Case of the Caretaker: A Miss Marple Short Story (English Edition),Agatha Christie,"
‏
:
‎

Abilit",3470,4.2,"['53%', '26%', '15%', '3%', '3%']",181.0,138.0,"
ASIN
‏
:
‎

B005IH03HA
"
2,https://www.goodreads.com/book/show/17824599-the-cornish-mystery---a-hercule-poirot-short-story,Agatha Christie,9780062298249,https://www.amazon.it/Cornish-Mystery-Hercule-Poirot-English-ebook/dp/B00D64I4TQ/ref=sr_1_1?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=the-cornish-mystery---a-hercule-poirot-short-story&qid=1636364157&s=books&sr=1-1#customerReviews,The Cornish Mystery - a Hercule Poirot Short Story,"['Mystery\n39 users', 'Short Stories\n25 users', 'Fiction\n17 users', 'Classics\n12 users', 'Mystery > Crime\n8 users', 'Mystery > Detective\n5 users']",21,3.82,"['29%', '33%', '31%', '5%', '2%']",1041,59,Published July 16th 2013 by Witness Impulse (first published November 28th 1923),https://www.amazon.it/Cornish-Mystery-Hercule-Poirot-English-ebook/dp/B00D64I4TQ/ref=sr_1_1?keywords=The+Cornish+Mystery+-+a+Hercule+Poirot+Short+Story&qid=1636579124&qsid=258-3450271-7585909&s=books&sr=1-1&sres=B00D64I4TQ&srpt=ABIS_EBOOKS#customerReviews,The Cornish Mystery: A Hercule Poirot Short Story (English Edition),Agatha Christie,"
‏
:
‎

Abilit",2381,4.4,"['61%', '23%', '13%', '1%', '2%']",113.0,33.0,"
ASIN
‏
:
‎

B00D64I4TQ
"
3,https://www.goodreads.com/book/show/12536996-the-case-of-the-missing-lady,Agatha Christie,9780062129741,https://www.amazon.it/Case-Missing-Lady/dp/B07DPR9MPY/ref=sr_1_1?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=the-case-of-the-missing-lady&qid=1636364178&s=books&sr=1-1#customerReviews,The Case of the Missing Lady,"['Mystery\n26 users', 'Short Stories\n11 users', 'Fiction\n10 users', 'Audiobook\n6 users', 'Mystery > Crime\n4 users', 'Thriller > Mystery Thriller\n3 users']",100,3.54,"['23%', '23%', '40%', '10%', '3%']",445,41,Published September 27th 2011 by William Morrow Paperbacks,https://www.amazon.it/Case-Missing-Lady/dp/B07DPR9MPY/ref=sr_1_1?keywords=The+Case+of+the+Missing+Lady&qid=1636579139&qsid=258-3450271-7585909&s=books&sr=1-1&sres=B07DPR9MPY%2CB005IH026W%2C3191795103%2C0593350537%2C152487132X%2C1471410765%2C0142418889%2CB004XFYN6U%2C0142413909%2C1521405506%2CB07DD8158Z%2C8026892070%2C3844534458%2C1451657595%2CB07KFKMB6Z%2CB00I2G309C#customerReviews,The Case of the Missing Lady,Agatha Christie,error,error,3.9,"['49%', '21%', '13%', '9%', '9%']",13.0,8.0,error
4,https://www.goodreads.com/book/show/131357.The_Blue_Geranium_and_Other_Stories,Agatha Christie,9780007145379,https://www.amazon.it/Blue-Geranium-Agatha-Christie/dp/0007145373/ref=sr_1_1?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=9780007145379&qid=1636364199&s=books&sr=1-1#customerReviews,The Blue Geranium and Other Stories,"['Mystery\n29 users', 'Short Stories\n5 users', 'Fiction\n4 users', 'Classics\n3 users', 'Mystery > Cozy Mystery\n2 users', 'Audiobook\n2 users', 'Media Tie In > Anime\n2 users', 'Mystery > Crime\n2 users', 'Mystery > Murder Mystery\n2 users']",3,3.97,"['33%', '36%', '26%', '5%', '1%']",535,13,Published September 16th 2002 by HarperCollins (first published 1940),https://www.goodreads.com/book_link/follow/8069?book_id=131357&source=compareprices,The Blue Geranium,Agatha Christie,"
:
‎

104 g
",10,4.6,"['67%', '28%', '5%', '0%', '0%', '0%', '0%', '0%', '0%']",33.0,25.0,"
Editore
‏
:
‎

HarperCollins; Unabridged edition (16 settembre 2002)
"
5,https://www.goodreads.com/book/show/20810313-the-veiled-lady---a-hercule-poirot-short-story,Agatha Christie,error,https://www.amazon.it/Veiled-Lady-Hercule-Poirot-English-ebook/dp/B00BS07I42/ref=sr_1_1?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=the-veiled-lady---a-hercule-poirot-short-story&qid=1636364214&s=books&sr=1-1#customerReviews,The Veiled Lady - a Hercule Poirot Short Story,"['Mystery\n43 users', 'Short Stories\n22 users', 'Fiction\n14 users', 'Mystery > Crime\n14 users', 'Classics\n11 users', 'Audiobook\n7 users', 'Mystery > Detective\n4 users', 'Thriller > Mystery Thriller\n3 users', 'Thriller\n2 users']",28,3.65,"['21%', '33%', '38%', '7%', '1%']",792,69,Published July 2nd 2013 by Witness Impulse (first published 1923),https://www.goodreads.com/book_link/follow/8069?book_id=20810313&source=compareprices,The Veiled Lady: A Hercule Poirot Story (Hercule Poirot Mysteries) (English Edition),Agatha Christie,"
‏
:
‎

Abilit",1118,3.9,"['35%', '37%', '18%', '0%', '0%', '0%', '10%']",13.0,9.0,"
ASIN
‏
:
‎

B00CD36EBQ
"
6,https://www.goodreads.com/book/show/15819769-the-kidnapped-prime-minister---a-hercule-poirot-short-story,Agatha Christie,9780062211040,https://www.amazon.it/Kidnapped-Prime-Minister-Hercule-English-ebook/dp/B007E3ESZ4/ref=sr_1_2?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=the-kidnapped-prime-minister---a-hercule-poirot-short-story&qid=1636364235&s=books&sr=1-2#customerReviews,The Kidnapped Prime Minister - a Hercule Poirot Short Story,"['Mystery\n38 users', 'Fiction\n21 users', 'Short Stories\n20 users', 'Mystery > Crime\n8 users', 'Audiobook\n6 users', 'Mystery > Detective\n4 users', 'Suspense\n3 users', 'Thriller > Mystery Thriller\n3 users', 'Adult\n3 users']",100,3.67,"['21%', '35%', '35%', '7%', '2%']",798,63,Published May 8th 2012 by William Morrow Paperbacks (first published 1923),https://www.amazon.it/Kidnapped-Prime-Minister-Hercule-English-ebook/dp/B007E3ESZ4/ref=sr_1_2?keywords=The+Kidnapped+Prime+Minister+-+a+Hercule+Poirot+Short+Story&qid=1636579166&qsid=258-3450271-7585909&s=books&sr=1-2&sres=B079JSDHXW%2CB007E3ESZ4#customerReviews,The Kidnapped Prime Minister: A Hercule Poirot Short Story (English Edition),Agatha Christie,"
‏
:
‎

Abilit",915,4.3,"['57%', '23%', '13%', '5%', '3%']",58.0,15.0,"
ASIN
‏
:
‎

B007E3ESZ4
"
7,https://www.goodreads.com/book/show/17824602-the-lemesurier-inheritance---a-hercule-poirot-short-story,Agatha Christie,9780062298270,https://www.amazon.it/Lemesurier-Inheritance-Hercule-Poirot-English-ebook/dp/B00D64I4VE/ref=sr_1_1?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=the-lemesurier-inheritance---a-hercule-poirot-short-story&qid=1636364255&s=books&sr=1-1#customerReviews,The Lemesurier Inheritance - a Hercule Poirot Short Story,"['Mystery\n44 users', 'Short Stories\n18 users', 'Fiction\n17 users', 'Mystery > Crime\n13 users', 'Classics\n7 users', 'Audiobook\n4 users', 'Mystery > Detective\n3 users', 'Mystery > Cozy Mystery\n2 users']",18,3.85,"['28%', '37%', '29%', '5%', '1%']",677,40,Published July 23rd 2013 by Witness Impulse (first published December 1923),https://www.amazon.it/Lemesurier-Inheritance-Hercule-Poirot-English-ebook/dp/B00D64I4VE/ref=sr_1_1?keywords=The+Lemesurier+Inheritance+-+a+Hercule+Poirot+Short+Story&qid=1636579181&qsid=258-3450271-7585909&s=books&sr=1-1&sres=B00D64I4VE&srpt=ABIS_EBOOKS#customerReviews,The Lemesurier Inheritance: A Hercule Poirot Short Story (English Edition),Agatha Christie,"
‏
:
‎

Abilit",2379,4.2,"['60%', '16%', '16%', '4%', '4%']",70.0,49.0,"
ASIN
‏
:
‎

B00D64I4VE
"
8,https://www.goodreads.com/book/show/12762624-sanctuary---a-miss-marple-short-story,Agatha Christie,error,https://www.amazon.it/Sanctuary-Marple-Short-Story-English-ebook/dp/B005IH025I/ref=sr_1_1?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=sanctuary---a-miss-marple-short-story&qid=1636364271&s=books&sr=1-1#customerReviews,Sanctuary - a Miss Marple Short Story,"['Mystery\n33 users', 'Short Stories\n12 users', 'Classics\n5 users', 'Fiction\n5 users', 'Mystery > Crime\n4 users', 'Audiobook\n3 users', 'Mystery > Detective\n2 users']",33,3.82,"['28%', '35%', '31%', '6%', '1%']",532,37,Published (first published September 1954),https://www.goodreads.com/book_link/follow/8069?book_id=12762624&source=compareprices,Sanctuary: A Miss Marple Short Story (English Edition),Agatha Christie,"
‏
:
‎

Abilit",3496,4.3,"['58%', '24%', '13%', '0%', '0%', '0%', '5%']",28.0,22.0,"
ASIN
‏
:
‎

B005IH025I
"
9,https://www.goodreads.com/book/show/15819772-the-coming-of-mr-quin---a-harley-quin-short-story,Agatha Christie,9780062211071,https://www.amazon.it/Coming-Mr-Quin-Harley-Short/dp/B07D4CBD8B/ref=sr_1_1?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=the-coming-of-mr-quin---a-harley-quin-short-story&qid=1636364291&s=books&sr=1-1#customerReviews,The Coming of Mr. Quin - a Harley Quin Short Story,"['Mystery\n36 users', 'Short Stories\n14 users', 'Mystery > Crime\n8 users', 'Classics\n6 users', 'Mystery > Detective\n6 users', 'Audiobook\n6 users', 'Fiction\n6 users', 'Suspense\n2 users', 'European Literature > British Literature\n2 users']",100,3.95,"['33%', '34%', '27%', '5%', '0%']",533,37,Published May 8th 2012 by William Morrow Paperbacks (first published March 1923),https://www.amazon.it/Coming-Air-autobiography-award-winning-personality/dp/0008217912/ref=sr_1_fkmr0_1?keywords=the+coming+of+mr.+quin+-+a+harley+quinn+short+story&qid=1636579200&qsid=258-3450271-7585909&s=books&sr=1-1-fkmr0&sres=0008217912%2C1452174075%2C1444927868%2C1419724428&srpt=ABIS_BOOK#customerReviews,"Coming Up for Air: 2021’s inspiring new autobiography and Sunday Times bestseller, from the award-winning Olympic diver and British sports personality",Tom Daley,978-0008217914,304,4.6,"['74%', '13%', '13%', '0%', '0%', '0%', '0%', '0%', '0%']",10.0,10.0,"
Editore
‏
:
‎

HQ; First edition (14 ottobre 2021)
"
