,level_0,index,Title,ISBN,Author,Auth_Sugg,Book_type,Yes24_link,Link_Naver,Price_Yes,Shelves_Yes,Num_Rev_Yes,Dist_Rat_Cont_Yes,Dist_Rat_Design_Yes,Overall_Rat_Yes,Num_Pages_Yes,Pub_Date_Yes,Num_Rev_ol_Yes,Overall_Rat_ol_Yes,Prezzo_Naver,Pub_Date_Naver,Overall_Rat_Naver,Num_Reviews_Naver
0,1050,1521,(팬더추리걸작시리즈 12) 비밀결사,9788938201720,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/92658,http://book.naver.com/bookdb/book_detail.naver?bid=1225921,error,['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 장르소설 > 공포/스릴러\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],error,[],[],error,195,1991,0,error,2.500,1991.06.01,0.0,0
1,1006,1441,0시간으로,9788949701318,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/344829,http://book.naver.com/bookdb/book_detail.naver?bid=121464,"8,820원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 장르소설 > 공포/스릴러\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 단편소설'],1,"['0%', '100%', '0%', '0%', '0%']","['0%', '100%', '0%', '0%', '0%']",8.0,526,2003,0,error,8.820,2003.01.01,9.0,3
2,887,1265,0시를 향하여,9788960177772,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/11865744,http://book.naver.com/bookdb/book_detail.naver?bid=7407527,"9,000원","['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설', '태그 분류\n#소설의공포 #추리책방_추천사를추천합니다 #정세랑작가추천 #추리/미스터리/스릴러']",10,"['60%', '40%', '0%', '0%', '0%']","['40%', '50%', '10%', '0%', '0%']",8.9,350,2013,15,8.8,9.000,2013.12.31,9.0,29
3,907,1289,13인의 만찬,9788938201089,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/103098,http://book.naver.com/bookdb/book_detail.naver?bid=112625,"9,000원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 장르소설 > 공포/스릴러\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],4,"['75%', '25%', '0%', '0%', '0%']","['50%', '50%', '0%', '0%', '0%']",9.3,314,2002,0,error,9.000,2002.08.15,8.89,10
4,945,1339,3막의 비극,9788960171039,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/19573097,http://book.naver.com/bookdb/book_detail.naver?bid=9365577,"9,000원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리'],1,"['0%', '0%', '100%', '0%', '0%']","['0%', '0%', '100%', '0%', '0%']",6.0,344,2015,0,error,9.000,2015.07.10,7.5,4
5,993,1407,4개의 시계,9788938202710,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/103121,http://book.naver.com/bookdb/book_detail.naver?bid=141259,"5,400원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 장르소설 > 공포/스릴러\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],9,"['11%', '22%', '67%', '0%', '0%']","['0%', '22%', '56%', '11%', '11%']",6.3,303,2000,1,8.0,5.400,1991.08.01,7.67,6
6,1062,1536,7개의 다이얼,00013065,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/13065,http://book.naver.com/bookdb/book_detail.naver?bid=3418712,error,[],1,"['0%', '0%', '100%', '0%', '0%']","['0%', '0%', '0%', '100%', '0%']",5.0,350,1991,0,error,1.500,1991.07.01,0.0,0
7,895,1274,ABC 살인 사건,9788960177840,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/11865729,http://book.naver.com/bookdb/book_detail.naver?bid=7407519,"9,000원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],5,"['60%', '40%', '0%', '0%', '0%']","['40%', '40%', '20%', '0%', '0%']",8.8,358,2013,6,9.4,9.000,2014.11.25,9.0,19
8,893,1271,ABC 살인사건,9788938201041,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/103160,http://book.naver.com/bookdb/book_detail.naver?bid=108263,"9,000원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 장르소설 > 공포/스릴러\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],20,"['50%', '35%', '10%', '5%', '0%']","['30%', '40%', '25%', '5%', '0%']",8.3,282,2002,7,9.8,9.000,2002.05.25,8.14,47
9,1063,1537,ABC 살인사건 (세계추리.탐정걸작 2),9788972050278,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/12890,http://book.naver.com/bookdb/book_detail.naver?bid=28179,error,['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 장르소설 > 공포/스릴러'],1,"['0%', '100%', '0%', '0%', '0%']","['0%', '0%', '100%', '0%', '0%']",7.0,198,1992,0,error,3.500,1992.12.01,0.0,0
10,888,1266,AGATHA CHRISTIE 세트 (1~40),9788938290007,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/1973566,http://book.naver.com/bookdb/book_detail.naver?bid=2123445,"216,000원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],4,"['50%', '50%', '0%', '0%', '0%']","['25%', '25%', '25%', '25%', '0%']",8.0,8,2000,0,error,216.000,2000.08.31,9.5,3
