index,Genere,Title_old,Title,ISBN,Author_old,Author,Price,N_pag,Pub_Date,Num_Reviews,Num_Reviews_ol,Distr_Rat_Cont,Distr_Rat_Design,Overall_Rating,Overall_Rating_ol,Yes_link,Tot_Reviews,Prezzo_Naver,Pub_Date_Naver,Overall_Rat_Naver,Num_Reviews_Naver,Naver_Link,Reviews_Sum,Shelves_Category_old,Shelves_Category,Shelves_Media_old,Shelves_Media,Shelves_Tags_old,Shelves_Tags
0,Children_Lit,푸른 사자 와니니,"Blue lion, wanini",9788936442804,이현,Lee Hyun,"9,720원",216,2015,46,146,"['72%', '24%', '4%', '0%', '0%']","['61%', '37%', '2%', '0%', '0%']",9.3,9.6,http://www.yes24.com/Product/Goods/18841857,192,9.72,2019.01.29,8.83,95,http://book.naver.com/bookdb/book_detail.naver?bid=9220379,287,"['  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']","['Domestic Books> Children> 3-4 Grade> 3-4 Grade Picture / Fairy Tale Books> 3-4 Grade Creative Fairy Tale', 'Domestic Books> Children> 5-6 Grade> 5-6 Grade Painting / Fairy Tale Books> 5-6 Grade Creative Fairy Tale ',' Domestic Books> Children> Children's Literature> Picture / Fairy Tale Books> Creative Fairy Tale ']","상내역 및 미디어 추천 분류
  국내도서 > 미디어 추천 > 동아일보
  국내도서 > 미디어 추천 > 한겨레","Sauce and media recommendation classification
  Domestic Books> Media Recommendation> Dong-A Ilbo
  Domestic Books> Media Recommendation> Hankyoreh",error,Error
1,Children_Lit,만복이네 떡집,Manbok's Tteokjip Title_old,9788949161341,김리리,Kim Riri,"8,550원",56,2010,107,215,"['84%', '16%', '0%', '0%', '0%']","['76%', '24%', '0%', '0%', '0%']",9.6,9.6,http://www.yes24.com/Product/Goods/3906369,322,8.55,2010.05.28,10.0,96,http://book.naver.com/bookdb/book_detail.naver?bid=6289560,418,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']","['Domestic Books> Children> 1-2 Grade> Grade 1-2 Grade Picture / Fairy Tale Books> 1-2 Grade Creative Fairy Tale', 'Domestic Books> Children> Children's Literature> Painting / Fairy Tale Books> Creative Fairy Tales']",error,Error,"그 분류
#세이브위드스토리 #초등교과서수록도서 #말장난 #생활동화","That classification
# Save Weed Story # Elementary school statement The more book #"
2,Children_Lit,장군이네 떡집,"Blue lion, wanini",9788949162041,김리리,Kim Riri,"8,550원",84,2020,54,119,"['83%', '13%', '4%', '0%', '0%']","['83%', '15%', '2%', '0%', '0%']",9.6,9.8,http://www.yes24.com/Product/Goods/89938914,173,8.55,2020.04.29,10.0,17,http://book.naver.com/bookdb/book_detail.naver?bid=16341237,190,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']","['Domestic Books> Children> 1-2 Grade> Grade 1-2 Grade Picture / Fairy Tale Books> 1-2 Grade Creative Fairy Tale', 'Domestic Books> Children> Children's Literature> Painting / Fairy Tale Books> Creative Fairy Tales']",error,Error,"그 분류
#성장물 #무료배송쿠폰도서","That classification
# Growing # Free Shipping Coupon Book"
3,Children_Lit,아홉 살 마음 사전,Manbok's Tteokjip,9788936447014,박성우,Park Sungwoo,"9,900원",168,2017,152,397,"['76%', '20%', '2%', '1%', '1%']","['74%', '23%', '3%', '1%', '0%']",9.4,9.6,http://www.yes24.com/Product/Goods/37211852,549,9.9,2017.03.10,9.54,134,http://book.naver.com/bookdb/book_detail.naver?bid=11792225,683,"['  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화', '  국내도서 > 어린이 > 교과서수록도서 > 2학년2학기 > 국어4-가', '  국내도서 > 어린이 > 교과서 수록도서']","['Domestic Books> Children> 3-4 Grade> 3-4 Grade Picture / Fairy Tale Books> 3-4 Grade Creative Fairy Tale', 'Domestic Books> Children> 5-6 Grade> 5-6 Grade Painting / Fairy Tale Books> 5-6 Grade Creative Fairy Tale ',' Domestic Books> Children> Children's Literature> Picture / Fairy Tale Books> Creative Fairy Tales ',' Domestic Books> Children> Children> Children> Children> Children> The books']","상내역 및 미디어 추천 분류
  국내도서 > 미디어 추천 > 조선일보
  국내도서 > 미디어 추천 > 중앙일보
  국내도서 > 미디어 추천 > 동아일보
  국내도서 > 미디어 추천 > 한겨레
  국내도서 > YES24 올해의 책 > 2017년 올해의 책 후보도서
  국내도서 > YES24 올해의 책 > 2017년 올해의 책 선정도서","Sauce and media recommendation classification
  Domestic Books> Media Recommendation> Chosun Ilbo
  Domestic Books> Media Recommendation> Central Ilbo
  Domestic Books> Media Recommendation> Dong-A Ilbo
  Domestic Books> Media Recommendation> Hankyoreh
  Domestic Books> YES24 Books of this year> Book candidate of the year 2017
  Domestic Books> YES24 Books of the Year> The book of the year in 2017",error,Error
4,Children_Lit,소원 떡집,General's Tteokjip,9788949162058,김리리,Kim Riri,"8,550원",84,2020,37,108,"['84%', '14%', '3%', '0%', '0%']","['81%', '16%', '3%', '0%', '0%']",9.6,9.6,http://www.yes24.com/Product/Goods/89938917,145,8.55,2020.04.29,10.0,21,http://book.naver.com/bookdb/book_detail.naver?bid=16341239,166,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']","['Domestic Books> Children> 1-2 Grade> Grade 1-2 Grade Picture / Fairy Tale Books> 1-2 Grade Creative Fairy Tale', 'Domestic Books> Children> Children's Literature> Painting / Fairy Tale Books> Creative Fairy Tales']",error,Error,"그 분류
#무료배송쿠폰도서","That classification
# Free Shipping Coupon Book"
5,Children_Lit,푸른 사자 와니니 2,A 9-year-old mind dictionary,9788936443054,이현,Lee Hyun,"9,720원",224,2019,67,87,"['84%', '9%', '7%', '0%', '0%']","['82%', '13%', '4%', '0%', '0%']",9.6,9.4,http://www.yes24.com/Product/Goods/77283025,154,9.7,2019.08.23,10.0,24,http://book.naver.com/bookdb/book_detail.naver?bid=15344116,178,"['  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']","['Domestic Books> Children> 3-4 Grade> 3-4 Grade Picture / Fairy Tale Books> 3-4 Grade Creative Fairy Tale', 'Domestic Books> Children> 5-6 Grade> 5-6 Grade Painting / Fairy Tale Books> 5-6 Grade Creative Fairy Tale ',' Domestic Books> Children> Children's Literature> Picture / Fairy Tale Books> Creative Fairy Tale ']","상내역 및 미디어 추천 분류
  국내도서 > 미디어 추천 > 한겨레","Sauce and media recommendation classification
  Domestic Books> Media Recommendation> Hankyoreh",error,Error
6,Children_Lit,나는 3학년 2반 7번 애벌레,Sowon rice cake place,9788936414085,김원아,Kim Won,"8,100원",104,2016,52,111,"['85%', '10%', '4%', '2%', '0%']","['81%', '13%', '4%', '2%', '0%']",9.5,9.6,http://www.yes24.com/Product/Goods/25283908,163,8.1,2016.04.11,9.43,31,http://book.naver.com/bookdb/book_detail.naver?bid=10406971,194,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']","['Domestic Books> Children> 1-2 Grade> 1-2 Grade Picture / Fairy Tale Books> 1-2 Grade Creative Fairy Tale', 'Domestic Books> Children> 3-4 Grade> 3-4 Grade Painting / Fairy Tale Books> 3-4 Grade Creative Fairy Tale ',' Domestic Books> Children> Children's Literature> Picture / Fairy Tale Books> Creative Fairy Tale ']",error,Error,"그 분류
#성장동화 #애벌레 #창비좋은어린이책","That classification
# Growth fairy tale # Caterpillar # Changbi good child book book"
7,Children_Lit,불량한 자전거 여행,Blue lion wannini 2,9788936442507,김남중,Kim Nam Jung,"9,720원",230,2009,78,78,"['86%', '13%', '1%', '0%', '0%']","['73%', '26%', '1%', '0%', '0%']",9.5,9.8,http://www.yes24.com/Product/Goods/3486146,156,9.72,2009.07.28,8.57,78,http://book.naver.com/bookdb/book_detail.naver?bid=6050510,234,"['  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']","['Domestic Books> Children> 5-6 Grade> 5-6 Grade Picture / Fairy Tale Books> 5-6 Grade Creative Fairy Tale', 'Domestic Books> Children> Children's Literature> Painting / Fairy Tale Books> Creative Fairy Tale","상내역 및 미디어 추천 분류
  국내도서 > 미디어 추천 > 한겨레
  국내도서 > 행복한아침독서/책둥이 추천 > 2010 어린이 고학년 추천도서","Sauce and media recommendation classification
  Domestic Books> Media Recommendation> Hankyoreh
  Domestic Books> Happy Breakfast / Required> 2010 Children's High School Recommendation",error,Error
8,Children_Lit,고양이 해결사 깜냥 1,"I'm class 2, class 7, caterpillar",9788936447694,홍민정,Hong Min Jeong,"9,900원",80,2020,185,185,"['85%', '13%', '2%', '0%', '0%']","['84%', '14%', '2%', '0%', '0%']",9.6,9.6,http://www.yes24.com/Product/Goods/89525316,370,9.9,2020.03.27,9.38,86,http://book.naver.com/bookdb/book_detail.naver?bid=16314963,456,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']","['Domestic Books> Children> 1-2 Grade> 1-2 Grade Picture / Fairy Tale Books> 1-2 Grade Creative Fairy Tale', 'Domestic Books> Children> 3-4 Grade> 3-4 Grade Painting / Fairy Tale Books> 3-4 Grade Creative Fairy Tale ',' Domestic Books> Children> Children's Literature> Picture / Fairy Tale Books> Creative Fairy Tale ']","상내역 및 미디어 추천 분류
  국내도서 > 미디어 추천 > 경향신문
  국내도서 > YES24 올해의 책 > 2020년 올해의 책 후보도서","Sauce and media recommendation classification
  Domestic Books> Media Recommendation> Trends Newspaper
  Domestic Books> YES24 Books of the Year> Book Candidate Books of the Year in 2020",error,Error
9,Children_Lit,이상한 과자 가게 전천당 1,Bad bike trip,9791164060481,히로시마 레이코,Reiko Hiroshima,"10,800원",147,2019,167,232,"['81%', '16%', '2%', '0%', '0%']","['77%', '20%', '4%', '0%', '0%']",9.5,9.6,http://www.yes24.com/Product/Goods/75217405,399,10.8,2019.07.05,9.55,93,http://book.naver.com/bookdb/book_detail.naver?bid=15070326,492,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']","['Domestic Books> Children> 1-2 Grade> 1-2 Grade Picture / Fairy Tale Books> 1-2 Grade Creative Fairy Tale', 'Domestic Books> Children> 3-4 Grade> 3-4 Grade Painting / Fairy Tale Books> 3-4 Grade Creative Fairy Tale ',' Domestic Books> Children> Children's Literature> Picture / Fairy Tale Books> Creative Fairy Tale ']",error,Error,"그 분류
#환상동화","That classification
# Fantasy fairytale"
