,index,Unnamed: 0,Genere,Title,Author,ISBN,Num_Pages_AZ,Pub_Date_AZ,Lingua_AZ,Avg_Rat_AZ,Distr_Rat_AZ,N_Votes_AZ,N_Reviews_AZ,Link_AZ,Num_Pag_AN,N_Votes_AN,N_Reviews_AN,Avg_Rat_AN,Pub_Date_AN,Genere_Suggerito_AN,Lingua_AN,Link_AN
0,0,0,Children_Lit,'O maé. Storia di judo e di camorra,"Luigi Garlando (Autore),",978-8855449823,256,"
Editore
‏
:
‎

Piemme (3 giugno 2020)
","
Lingua
‏
:
‎

Italiano
",4.5,"['70%', '20%', '7%', '1%', '2%']",258.0,71.0,https://www.amazon.it/ma%C3%A9-Storia-judo-camorra/dp/8855449826/ref=sr_1_64?dchild=1&m=A1IZZI10GE0KEI&qid=1633023696&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-64,error,0,1,0.0,error,error,error,https://www.anobii.com/search/978-8855449823/books
1,1,1,Children_Lit,11 favole di felicità. Imparare a pensare positivamente,Rosalba Corallo (Autore),978-8859003069,191,"
Editore
‏
:
‎

Erickson (24 settembre 2013)
","
Lingua
‏
:
‎

Italiano
",4.6,"['74%', '15%', '8%', '2%', '1%']",574.0,148.0,https://www.amazon.it/favole-felicit%C3%A0-Imparare-pensare-positivamente/dp/8859003067/ref=sr_1_174?dchild=1&m=A1IZZI10GE0KEI&qid=1633023705&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-174,191,1,1,5.0,"Editore
Erickson (Capire con il cuore)",[' Narrativa & Letteratura '],Riguardo questa edizione,https://www.anobii.com/search/978-8859003069/books
2,2,2,Children_Lit,A caccia dell'Orso. Ediz. a colori,"Michael Rosen (Autore),",978-8804702535,40,"
Editore
‏
:
‎

Mondadori; Illustrated edizione (11 settembre 2018)
","
Lingua
‏
:
‎

Italiano
",4.7,"['82%', '11%', '5%', '2%', '1%']",1106.0,429.0,https://www.amazon.it/caccia-dellOrso-Ediz-colori/dp/8804702532/ref=sr_1_114?dchild=1&m=A1IZZI10GE0KEI&qid=1633023701&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-114,error,286,49,4.57,error,"[' Bambini ', ' Musica ', ' Studio di Lingue Straniere ']",error,https://www.anobii.com/search/978-8804702535/books
3,3,3,Children_Lit,A caccia di Entity,"Lyon Gamer (Autore),",978-8817142526,213,"
Editore
‏
:
‎

BUR Biblioteca Univ. Rizzoli (10 settembre 2019)
","
Lingua
‏
:
‎

Italiano
",4.4,"['69%', '16%', '8%', '3%', '4%']",730.0,169.0,https://www.amazon.it/caccia-Entity-Lyon-Gamer/dp/8817142522/ref=sr_1_144?dchild=1&m=A1IZZI10GE0KEI&qid=1633023703&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-144,213,0,0,0.0,"Editore
BUR Biblioteca Univ. Rizzoli",error,Riguardo questa edizione,https://www.anobii.com/search/978-8817142526/books
4,4,4,Children_Lit,A caccia di Herobrine,"Lyon Gamer (Autore),",978-8817103800,219,"
Editore
‏
:
‎

BUR Biblioteca Univ. Rizzoli (25 settembre 2018)
","
Lingua
‏
:
‎

Italiano
",4.5,"['71%', '15%', '8%', '2%', '3%']",821.0,215.0,https://www.amazon.it/caccia-Herobrine-Lyon-Gamer/dp/8817103802/ref=sr_1_255?dchild=1&m=A1IZZI10GE0KEI&qid=1633023712&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-255,219,0,0,0.0,"Editore
BUR Biblioteca Univ. Rizzoli",error,Riguardo questa edizione,https://www.anobii.com/search/978-8817103800/books
5,5,5,Children_Lit,Abbaiare stanca,"Daniel Pennac (Autore),",978-8877822758,192,"
Editore
‏
:
‎

Salani (1 marzo 1993)
","
Lingua
‏
:
‎

Italiano
",4.6,"['75%', '16%', '7%', '1%', '2%']",323.0,83.0,https://www.amazon.it/Abbaiare-stanca-Daniel-Pennac/dp/8877822759/ref=sr_1_159?dchild=1&m=A1IZZI10GE0KEI&qid=1633023704&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-159,error,2177,264,3.91,error,error,error,https://www.anobii.com/search/978-8877822758/books
6,6,6,Children_Lit,Alice nel paese delle meraviglie,"Lewis Carroll (Autore),",978-8858013939,142,"
Editore
‏
:
‎

Gribaudo (3 settembre 2015)
","
Lingua
‏
:
‎

Italiano
",4.7,"['81%', '11%', '6%', '1%', '1%']",278.0,102.0,https://www.amazon.it/Alice-nel-paese-delle-meraviglie/dp/885801393X/ref=sr_1_164?dchild=1&m=A1IZZI10GE0KEI&qid=1633023705&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-164,142,8754,817,4.06,"Editore
Gribaudo","[' Fantascienza & Fantasy ', ' Bambini ', ' Narrativa & Letteratura ']","Riguardo questa edizione
Tutte le edizioni",https://www.anobii.com/search/978-8858013939/books
7,7,7,Children_Lit,All'arrembaggio! Dory fantasmagorica,"Abby Hanlon (Autore),",978-8861895874,152,"
Editore
‏
:
‎

Terre di Mezzo (24 ottobre 2019)
","
Lingua
‏
:
‎

Italiano
",4.8,"['85%', '10%', '3%', '1%', '1%']",202.0,48.0,https://www.amazon.it/Allarrembaggio-Dory-fantasmagorica-Abby-Hanlon/dp/8861895875/ref=sr_1_224?dchild=1&m=A1IZZI10GE0KEI&qid=1633023710&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-224,error,8,9,4.12,error,error,error,https://www.anobii.com/search/978-8861895874/books
8,8,8,Children_Lit,Animali fantastici. I crimini di Grindelwald. Screenplay originale,"J. K. Rowling (Autore),",978-8893817110,287,"
Editore
‏
:
‎

Salani (3 dicembre 2018)
","
Lingua
‏
:
‎

Italiano
",4.6,"['79%', '11%', '6%', '1%', '3%']",423.0,123.0,https://www.amazon.it/Animali-fantastici-Grindelwald-Screenplay-originale/dp/889381711X/ref=sr_1_324?dchild=1&m=A1IZZI10GE0KEI&qid=1633023720&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-324,287,83,9,3.64,"Editore
Salani","[' Fantascienza & Fantasy ', ' Narrativa & Letteratura ']","Riguardo questa edizione
Tutte le edizioni",https://www.anobii.com/search/978-8893817110/books
9,9,9,Children_Lit,Anna dai capelli rossi 1: Vol. 1,"Lucy Maud Montgomery (Autore),",978-8893483650,362,"
Editore
‏
:
‎

Gallucci (21 giugno 2018)
","
Lingua
‏
:
‎

Italiano
",4.7,"['82%', '12%', '2%', '2%', '1%']",645.0,88.0,https://www.amazon.it/Anna-dai-capelli-rossi-1/dp/8893483653/ref=sr_1_44?dchild=1&m=A1IZZI10GE0KEI&qid=1633023694&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-44,error,1123,202,4.41,error,error,error,https://www.anobii.com/search/978-8893483650/books
